chunk1,chunk2,vector
Palestinian prisoners,of 26 Palestinian prisoners,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
with Mandela family,to Mandela,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
meets,meets,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's leader,Egypt president,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
state,state,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
imposes,declares,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of emergency,of emergency,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in 3 cities,in three cities,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Nobel Peace Prize,2012 Nobel Peace Prize,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
receives,Receives,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EU,EU,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to Death,to Death,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for War Crimes,by War Crimes Tribunal,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Sentenced,Sentenced,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at Swedish consulate,Swedish Consulate,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Car bomb,Car Bomb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
no casualties,None Hurt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's Benghazi,in Benghazi,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
roadmap,High Hopes,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
will yield,Spur,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
nuclear talks,Iran Nuclear Talks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
North Korea,North Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
third nuclear test,Third Nuclear Test,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Hits,hits,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in 2012,in 2012,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Record $ 38 bn,record US$ 38b,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Macau Gambling Revenue,Macau gambling revenue,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for Same-Sex Marriages Hearing,for same-sex marriage,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Prepares,pave the way,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
NM County,Some county officials,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
to host,to host,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2020 Olympic Games,2020 Olympics,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Tokyo,Tokyo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Mumbai rape case,in gang-rape case,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Indian police,Mumbai police,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
all five suspects,fifth suspect,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
round up,arrest,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Syria,about Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on chemical weapons,'s chemical weapons,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US,U.S. concerns,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
strengthens,weakens,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
China yuan,Chinese yuan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 6.2689,to 6.2816,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
against USD,against USD,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in new constitution,On New Constitution,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
votes,Vote,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt,Egyptians,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Benghazi,in Benghazi,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kills,hits,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Car bomb,Car bomb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
French-led troops,French-led troops,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Timbuktu,to Timbuktu,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at joint industrial zone,to joint industrial zone,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to halt,blocks,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
N Korea,North Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
work,access,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Egyptians,Egyptians,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
vote,vote,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on divisive constitution,on constitution change,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
final big immigration decisions,final big decisions,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
nears,nearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Committee,Senate Judiciary Committee,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
for Boston bomb victims,for Boston victims,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
observes,observes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
London Marathon,London Marathon,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
silence,silence,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
40,40,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Canada train disaster,in Canadian train wreck,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
missing,missing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
UN presses,UN chief presses,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
for major boost,for major boost,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Syrian aid,in Syrian aid,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
N Korea,N. Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
controversial rocket launch,controversial rocket launch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
may delay,to delay,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rocks,rocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Critical Gates memoir,Gates blast,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Obama administration,Obama administration,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to hacking charges,at phone hacking hearing,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Brooks,Brooks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
not guilty,not guilty,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
pleads,pleads,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is working,work,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
health care law,new health care law,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
declares,pledges,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Obama,Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
protest,protest,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Thousands,Thousands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gay marriage,gay marriage,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
paralyse,besiege,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Thai political protests,Thai protesters,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
more ministries,more ministries,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Exclusive-UPDATE,EXCLUSIVE-UPDATE,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2-Egypt pro-Mursi alliance signals flexibility,1-Egypt pro-Mursi alliance signals flexibility,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in talks,in talks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Deaths,at least one dead,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
confirmed,say,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
after helicopter,after helicopter,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
into Scottish pub,into pub,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
crashes,crashes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Pakistan jailbreak,Taliban prison break,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Militants,250 militants,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
stage,escape,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
brings,wallops,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Blizzard,Blizzard,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US northeast,US Northeast,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bomb,bomb attack,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt interior minister,'s interior minister,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
survives,survives,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's security restrictions,'s security decree,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Critics,of critics,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Putin,Putin,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
cracks down,cracks down,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt army,'s military,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Brotherhood,on Muslim Brotherhood,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
for calm,for calm,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt,Egypt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
prays,prays,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
braces,braces,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for more protests,for more protests,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"between Raffles Place , Marina Bay",between Raffles Place and Marina Bay,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
disrupts,disrupted,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
train service,Train service,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Defiant Mugabe,Mugabe,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
sworn in,sworn in,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for seventh term,for another term,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Lance Armstrong,Lance Armstrong,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to Oprah,in Oprah interview,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
all,to doping,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
confesses,confesses,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after wild party,after alleged embassy orgy,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
sacked,resigns,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Honduran ambassador,Honduras ambassador,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on upbeat US economic data,"by positive US , China data","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Asian markets,Asian markets,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gain,lifted,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
six global powers,world powers,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
landmark nuclear deal,nuclear deal,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Iran,Iran,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sign,agree,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Dozens,Dozens,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in air strike,in Syrian air strike,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on bakery,on bakery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Mandela ` Inspiration ','s inspiration effect,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Praises,hails,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
3-wk high,three-week highs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Asian markets,Asian stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on hopes,on hopes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of US debt deal,of U.S. debt deal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
hit,hit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Patriot missile battery,Patriot missile batteries,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NATO,Obama,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
on Syrian border,near Syrian border,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Guinea,Equatoguineans,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
votes,vote,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in long-delayed legislative poll,in legislative polls,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on Sinai Militants,against Sinai militants,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt Army,Egypt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
New Air Raids,new assault,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Launches,launches,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,die,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
vote,polling stations,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
Thai protesters,Thai protesters,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
obstruct,block,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
North Korea,North Korea nuclear test,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Nelson Mandela memorial service,Nelson Mandela,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in bus crash,in bus accident,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in Italy,in Pakistan,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
37,12,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Syrian opposition,Syrian opposition,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Delhi Gang Rape Suspect,Delhi gang-rape verdict,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
the Philippines,Philippines,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
hits,Hits,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Most powerful typhoon,Typhoon Utor,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
for more Egypt protests,from Egypt protests,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
11 hurt,33 hurt,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
One dead,6 dead,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Suicide Bomber,Suicide Bomber,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at Afghan Province Council,in Afghanistan,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
14,11,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Kills,Kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of manslaughter,of murder,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
arrested,arrested,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on suspicion,on suspicion,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Wall St lead,on Wall Street,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Stocks,Stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
soar,slump,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
in northern Iraq,in northern Lebanon,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
17,2,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in bomb attacks,in clashes,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
wounded,wounded,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
133,6,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
's death,'s death,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
over nurse,over nurse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
ailing Mandela,'s former PM Nelson Mandela,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
South Africans,South Africa,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
"December 6 , 2013","July 12 , 2013","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
's Must-Reads,'s Must-Reads,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The Note,The Note,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for Friday,for Friday,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to Central African Republic,in Central African capital,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
hits,jolts,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6.0-magnitude quake,5.0-magnitude quake,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Greece,Japan,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
North Korea Nuclear Test,North Korea nuclear test,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Credibility,world credibility,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on the line,on line,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
to 6.2767,to 6.1818,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
's yuan,China yuan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
against USD Thursday,against USD Tuesday,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
weakens,weakens,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kills,Kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Suicide bomber,Suicide Bombers,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
policeman,3 Soldiers,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in Pakistan,in Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to be sentenced,Sentenced,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for terror convictions,for Corruption,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Stocks,US stocks,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
rise,ease,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in early trading,in choppy trading,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
to helicopter crash,over crash,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
UK police,China police,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
41,15,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Iraq,in Iraq,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
wounded,wounded,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in violent attacks,in fresh attacks,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
22,90,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
to visit,visit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Kerry,Kerry,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Jordan,to Israel,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
on agenda,postpones,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
for Obamacare,for Obamacare,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
signs up,to sign up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US State Department,State Dept security chief,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
faulted,resigns,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
over Benghazi,after Benghazi,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Syria,Libya,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Hit,hit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Kill,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Egypt Military,Egypt military,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Suicide Bombs,Suicide bombs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Sinai,in Sinai,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Egypt clashes,clash,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
killed,injured,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Four Morsi supporters,as Morsi supporters,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Pistorius officer,Pistorius officer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
from case,on attempted murder charges,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Pakistani Taliban chief Hakimullah Mehsud,Hakimullah,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,'s killing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in drone strike,in bloodshed,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
suspect,suspect,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
was captured,captured,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Flooding,California wildfire,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
evacuation,evacuation,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
forces,forces,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of another city,"of homes , university","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
rises,rises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 30,to six,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Death toll,Death toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Nigeria police attack,in Kenya bus attack,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Australia,Australian PM,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Iran,Iran,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in nuclear talks,`` peaceful '' nuclear program,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
's Darfur,in Abyei clash,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Seven peacekeepers,Peacekeeper,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Syria,at Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
over Israeli strikes,second air strike,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
voices,confirms,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
